#ZIP	ELEC-KWH	ELEC-GJ	POP	HOUSEUNITS	MEDIANINCOME	AREA	TAX-CREDIT	AVGHOMEVALUE	COMM-kWH	COMM-GJ	INST-kWH	INST-GJ
10001	62998984	226796	21102	11031	67795	0.621	0	632400	867028820	3121304	106799125	384477
10002	203074759	731070	81410	32925	32407	0.879	0	572000	182540763	657147	29810948	107320
10003	141862187	510705	56024	28559	88601	0.576	0	802300	650884673	2343185	27309827	98315
10004	12235519	44048	3089	1692	127448	0.56	0	886800	591024869	2127689	43321789	155958
10005	48482354	174536	7135	4251	117885	0.074	0	1000000	350666781	1262401	54648261	196734
10006	18859026	67893	3011	1791	111617	0.092	0	799600	107999886	388800	62773997	225986
10007	27694771	99701	6988	2840	191900	0.163	0	1000000	286460199	1031256	170658947	614372
10009	120087759	432315	61347	30182	55316	0.617	0	641000	106588396	383719	27126893	97657
10010	106750413	384302	31834	16556	94242	0.391	0	732600	485277416	1746999	42371087	152535
10011	152509576	549035	50984	30294	99700	0.658	0	890500	748451169	2694425	17130674	61670
10012	65738776	236660	24090	13338	77072	0.323	0	1000000	281554047	1013594	3213429	11569
10013	93075117	335071	27700	12096	64806	0.552	0	1000000	708672092	2551220	91935503	330968
10014	98658492	355170	31959	19790	102747	0.569	0	945900	360410113	1297477	13808761	49711
10016	163384064	588183	54183	32173	102796	0.532	0	759300	789699996	2842920	127355030	458477
10017	66009739	237635	16575	10763	105974	0.32	0	686100	1320425863	4753533	79529843	286308
10018	17819423	64150	5229	3065	84850	0.322	0	816700	611671799	2202018	38495253	138584
10019	146771280	528377	42870	25905	79508	0.68	0	800800	1492014659	5371253	59754494	215116
10021	217722569	783802	43631	24734	109343	0.387	0	1000000	301952586	1087030	8098700	29156
10022	168133802	605281	31924	19253	109625	0.436	0	855100	1380792183	4970852	4628276	16662
10023	250980220	903528	60998	34383	105260	0.491	0	889100	364146317	1310927	25217397	90783
10024	187170391	673813	59283	30836	111582	0.858	16000	1000000	155491060	559768	44628830	160664
10025	221271101	796576	94600	44432	64592	0.752	11000	900900	225650071	812340	9673918	34826
10026	66597072	239749	34003	14199	39574	0.332	0	576000	53197876	191512	29391501	105810
10027	110646868	398328	59707	22839	35157	0.871	0	663800	292585993	1053310	39502287	142208
10028	161574790	581669	45141	25158	107885	0.314	0	1000000	158068223	569046	70287087	253034
10029	196310795	706718	76003	29378	31851	0.825	0	841400	262845919	946245	54604526	196577
10030	52698735	189716	26999	11395	29063	0.279	0	642000	29803030	107291	16931454	60953
10031	81318081	292745	56438	20638	36188	0.651	0	419700	69679409	250845	62379420	224566
10032	81912256	294884	57331	20228	35079	0.657	0	394600	267700012	963720	36339021	130821
10033	83616978	301022	53926	18975	40625	0.605	0	448700	79993846	287978	15662485	56385
10034	61345133	220843	38908	15007	42919	1.126	0	352200	70843895	255038	16899139	60837
10035	78061546	281022	33969	12775	26365	1.396	0	457300	91506472	329423	159777980	575200
10036	85340436	307226	24711	15183	62997	0.443	0	798600	1222081923	4399495	40326447	145175
10037	47733991	171843	17416	8885	40681	0.264	0	277300	23161895	83383	56711174	204161
10038	55922142	201320	20300	9410	65473	0.298	0	637800	293241542	1055670	99581618	358494
10039	61236074	220449	24527	10070	34096	0.463	0	377100	27568189	99246	7189598	25883
10040	60772090	218780	41905	15718	37244	0.377	0	324200	47644125	171518	6964589	25072
10044	64740412	233066	11661	4501	76250	0.242	0	461900	11327187	40778	31147761	112131
