#ZIP	ELEC-KWH	ELEC-GJ	POP	HOUSEUNITS
10001	62998984	226796	21102	12476
10002	203074759	731070	81410	34541
10003	141862187	510705	56024	31078
10004	12235519	44048	3089	2197
10005	48482354	174536	7135	5317
10006	18859026	67893	3011	1991
10007	27694771	99701	6988	3143
10009	120087759	432315	61347	31709
10010	106750413	384302	31834	18030
10011	152509576	549035	50984	33252
10012	65738776	236660	24090	14633
10013	93075117	335071	27700	13460
10014	98658492	355170	31959	21689
10016	163384064	588183	54183	35617
10017	66009739	237635	16575	12875
10018	17819423	64150	5229	4425
10019	146771280	528377	42870	31404
10021	217722569	783802	43631	28628
10022	168133802	605281	31924	23485
10023	250980220	903528	60998	39402
10024	187170391	673813	59283	33952
10025	221271101	796576	94600	47617
10026	66597072	239749	34003	15823
10027	110646868	398328	59707	25071
10028	161574790	581669	45141	28139
10029	196310795	706718	76003	31121
10030	52698735	189716	26999	12976
10031	81318081	292745	56438	22604
10032	81912256	294884	57331	21417
10033	83616978	301022	53926	20116
10034	61345133	220843	38908	15671
10035	78061546	281022	33969	13935
10036	85340436	307226	24711	17958
10037	47733991	171843	17416	9451
10038	55922142	201320	20300	10211
10039	61236074	220449	24527	10868
10040	60772090	218780	41905	16506
10044	64740412	233066	11661	4913
10065	152958298	550649	32270	22754
10069	35181427	126653	5199	3146
10075	100478909	361724	26121	16493
10128	230740449	830665	60453	35240
10280	34360936	123700	7853	4962
10282	18579632	66887	4783	2484
10301	90624690	326250	39706	16261
10302	38490230	138565	19088	6427
10303	57786101	208031	26337	8811
10304	104730002	377028	42193	15467
10305	100295302	361062	41749	16187
10306	156543485	563557	55909	22017
10307	47654127	171555	14096	5354
10308	82214155	295971	27357	10715
10309	103841446	373830	32519	11686
10310	58794925	211662	24962	9043
10312	193296457	695867	59304	22155
10314	233341645	840029	85510	32533
10451	100947755	363413	45713	17779
10452	106407156	383065	75371	25866
10453	132176622	475836	78309	27018
10454	81972693	295101	37337	12772
10455	65439097	235580	39665	13851
10456	144602967	520571	86547	29651
10457	120557758	434008	70496	24364
10458	110374526	397349	79492	27806
10459	66516526	239460	47308	16496
10460	107285267	386227	57311	20706
10461	92758320	333930	50502	21127
10462	121582387	437697	75784	31331
10463	134332137	483595	67970	30368
10464	11639773	41904	4534	2272
10465	97881757	352375	42230	16889
10466	116914196	420890	67813	24854
10467	152986068	550751	97060	37432
10468	112109598	403595	76103	26178
10469	117438203	422778	66631	24078
10470	26683897	96062	15293	6882
10471	58521555	210677	22922	10054
10472	105366693	379320	66358	23386
10473	136589398	491722	58519	21323
10474	15869203	57129	12281	3985
10475	47986808	172752	40931	18911
11001	8477791	30520	26883	9598
11004	26454962	95238	14016	5152
11040	4350778	15663	40782	13900
11101	50816191	182938	25484	12317
11102	62402511	224649	34133	15499
11103	56370700	202935	38780	18518
11104	41133996	148083	27232	12532
11105	61297801	220672	36688	17416
11106	71578247	257682	38875	18296
11109	8372684	30141	3523	2127
11201	136727494	492220	51128	26390
11202	12182	44	0	0
11203	116443383	419196	76174	28087
11204	137673052	495623	78134	28196
11205	79232781	285238	40366	16409
11206	168629957	607067	81677	29941
11207	147962065	532663	93386	34202
11208	136241195	490469	94469	32069
11209	135862576	489105	68853	34679
11210	131470580	473293	62008	22476
11211	201187889	724277	90117	37180
11212	163727263	589418	84500	31847
11213	108898924	392036	63767	24974
11214	131157455	472167	88630	35261
11215	127233902	458042	63488	30073
11216	88796158	319667	54316	25964
11217	75842164	273032	35881	17581
11218	117532943	423118	75220	26598
11219	158666785	571200	92221	28693
11220	113058062	407009	99598	31045
11221	119416907	429901	78895	31784
11222	61354039	220874	36934	18756
11223	150324623	541168	78731	32407
11224	102739166	369861	47621	20768
11225	98263331	353748	56829	23588
11226	141878120	510761	101572	37745
11228	75638537	272299	41788	18234
11229	161830185	582589	80018	34885
11230	167330858	602391	86408	34028
11231	75638669	272299	33336	16149
11232	31292467	112653	28265	8980
11233	111706997	402146	67053	29074
11234	190796570	686867	87757	33714
11235	153849816	553859	79132	37619
11236	166148015	598133	93877	33313
11237	57081235	205493	49896	16724
11238	95506098	343822	49262	24525
11239	3668967	13208	13393	6335
11354	100096477	360348	54878	22201
11355	118562745	426826	85871	30681
11356	41685111	150066	23438	8303
11357	107428080	386741	39150	15924
11358	75254768	270917	37546	14068
11360	67287928	242236	18884	9308
11361	60850806	219063	28606	11195
11362	48895453	176024	17823	7347
11363	23054760	82998	6988	2797
11364	74847097	269449	34555	13835
